"","Fecha_de_ingreso_denuncia","nro_registro_interno","id_tema","subtema","id_referido_tipo","id_provincia","id_genero","edad_aparente","id_embarazada"
"274",2020-03-08,3594654505,1,37,1,26,2,NA,0
"275",2020-03-08,3515654505,1,37,1,26,2,NA,0
"276",2020-03-08,4515654505,1,37,1,26,2,NA,0
"277",2020-03-08,2535654505,1,37,1,26,2,NA,0
"278",2020-03-09,2545654505,1,37,1,26,2,NA,0
"279",2020-03-09,1584754505,1,37,1,26,2,NA,0
"280",2020-03-09,1525754505,1,37,1,26,2,NA,0
"281",2020-03-10,2525754505,1,37,1,26,2,NA,0
"282",2020-03-10,1535754505,1,37,1,26,2,NA,0
"283",2020-03-10,7545754505,1,37,1,26,2,NA,0
"284",2020-03-10,3565754505,1,37,1,26,2,NA,0
"285",2020-03-10,4515845505,1,37,1,26,2,NA,0
"286",2020-03-10,3555845505,1,37,1,26,2,NA,0
"287",2020-03-10,6575845505,1,37,1,26,2,NA,0
"288",2020-03-10,2545945505,1,37,1,26,2,NA,0
"289",2020-03-10,6535945505,1,37,1,26,2,NA,0
"290",2020-03-10,3584055505,1,37,1,26,2,NA,0
"291",2020-03-10,8484055505,1,37,1,26,2,20,0
"292",2020-03-11,4594055505,1,37,1,26,2,NA,0
"293",2020-03-11,8405055505,1,37,1,26,2,NA,0
"294",2020-03-11,8405055505,1,37,1,26,2,NA,0
"295",2020-03-11,9494055505,1,37,1,26,2,NA,0
"296",2020-03-11,7505055505,1,37,1,26,2,NA,0
"297",2020-03-11,525055505,1,37,1,26,2,NA,0
"298",2020-03-12,8435055505,1,37,1,26,2,NA,0
"299",2020-03-12,3545055505,1,37,1,26,2,NA,0
"300",2020-03-12,575055505,1,37,1,26,2,NA,0
"301",2020-03-12,7565055505,1,37,1,26,2,NA,0
"302",2020-03-13,6575055505,1,37,1,26,2,NA,0
"303",2020-03-13,9484155505,1,37,1,26,2,NA,0
"304",2020-03-13,9484155505,1,37,1,26,2,NA,0
"305",2020-03-13,3515155505,1,37,1,26,2,35,0
"306",2020-03-13,3515155505,1,37,1,26,2,55,0
"307",2020-03-13,5515155505,1,37,1,26,2,55,0
"308",2020-03-13,5545155505,1,37,1,26,2,NA,0
"309",2020-03-13,8465155505,1,37,1,26,2,NA,0
"310",2020-03-13,6535255505,1,37,1,26,2,NA,0
"311",2020-03-13,565255505,1,37,1,26,2,23,0
"312",2020-03-13,5575255505,1,37,1,26,2,NA,0
"313",2020-03-13,1515355505,1,37,1,26,2,NA,0
"314",2020-03-13,6565355505,1,37,1,26,2,NA,0
"315",2020-03-13,7565355505,1,37,1,26,2,NA,0
"316",2020-03-13,7565355505,1,37,1,26,2,NA,0
"317",2020-03-13,7535455505,1,37,1,26,2,NA,0
"318",2020-03-14,9455455505,1,37,1,26,2,22,0
"319",2020-03-14,4565455505,1,37,1,26,2,NA,0
"320",2020-03-14,6515555505,1,37,1,26,2,NA,0
"321",2020-03-14,9415555505,1,37,1,26,2,NA,0
